generation,train_mse
1,0.004120729813741595
2,0.0038494085114715837
3,0.003493242539379714
4,0.003493242539379714
5,0.003493242539379714
6,0.003253480545248546
7,0.0032552012176309724
8,0.0032552012176309724
9,0.0032552012176309724
10,0.003211434202124699
11,0.003211434202124699
12,0.003166164047588371
13,0.003166164047588371
14,0.0031515203553068014
15,0.0031515203553068014
16,0.0031515203553068014
17,0.0031515203553068014
18,0.0031515203553068014
19,0.0031515203553068014
20,0.0031515203553068014
