generation,train_mse
1,0.003732847090362281
2,0.003732847090362281
3,0.003732847090362281
4,0.003548156141873183
5,0.0035415758791485226
6,0.0035189529383056603
7,0.0035189529383056603
8,0.003259730314871187
9,0.003259730314871187
10,0.003259730314871187
11,0.003173587301955275
12,0.003173587301955275
13,0.003173587301955275
14,0.003173587301955275
15,0.003173587301955275
16,0.0031494661909303944
17,0.0031494661909303944
18,0.0031494661909303944
19,0.0031494661909303944
20,0.0031494661909303944
