generation,train_mse
1,0.0035450837874529415
2,0.0035450837874529415
3,0.0035450837874529415
4,0.0033386428877047376
5,0.0033386428877047376
6,0.0033386428877047376
7,0.0032721994094846315
8,0.0032721994094846315
9,0.003253738939011694
10,0.003253738939011694
11,0.0032798656453159572
12,0.0032798656453159572
13,0.003230727599428608
14,0.003230727599428608
15,0.003225672137092943
16,0.003225672137092943
17,0.003225672137092943
18,0.003225672137092943
19,0.0031798817876556177
20,0.003131792693108357
